iter	Passed	Remaining
399	26069	39104
400	26127	39028
401	26190	38960
402	26251	38888
403	26305	38807
404	26361	38728
405	26416	38648
406	26473	38572
407	26528	38492
408	26584	38414
409	26657	38361
410	26723	38297
411	26782	38223
412	26838	38145
413	26903	38080
414	26967	38014
415	27028	37944
416	27092	37876
417	27150	37802
418	27206	37724
419	27267	37654
420	27323	37577
421	27383	37506
422	27445	37438
423	27503	37363
424	27566	37296
425	27627	37225
426	27694	37163
427	27762	37103
428	27823	37032
429	27881	36959
430	27945	36893
431	28023	36845
432	28091	36784
433	28157	36721
434	28216	36649
435	28273	36573
436	28340	36512
437	28400	36440
438	28460	36369
439	28520	36298
440	28580	36228
441	28646	36164
442	28717	36106
443	28771	36029
444	28836	35964
445	28894	35891
446	28955	35821
447	29010	35745
448	29071	35676
449	29136	35611
450	29203	35549
451	29271	35489
452	29338	35426
453	29406	35365
454	29484	35316
455	29541	35242
456	29594	35163
457	29657	35096
458	29722	35032
459	29784	34963
460	29838	34887
461	29901	34820
462	29977	34768
463	30044	34706
464	30104	34636
465	30165	34567
466	30217	34487
467	30279	34419
468	30337	34348
469	30396	34276
470	30461	34212
471	30528	34150
472	30595	34088
473	30665	34030
474	30740	33976
475	30800	33906
476	30862	33839
477	30929	33776
478	30999	33717
479	31059	33647
480	31122	33581
481	31180	33509
482	31244	33443
483	31311	33381
484	31377	33318
485	31437	33248
486	31493	33175
487	31561	33113
488	31624	33046
489	31686	32979
490	31746	32910
491	31802	32836
492	31870	32775
493	31946	32722
494	32014	32661
495	32087	32604
496	32152	32540
497	32220	32479
498	32281	32411
499	32341	32341
500	32411	32281
501	32473	32215
502	32538	32150
503	32593	32075
504	32650	32003
505	32720	31944
506	32779	31873
507	32844	31809
508	32904	31740
509	32967	31674
510	33022	31601
511	33079	31529
512	33143	31463
513	33211	31402
514	33275	31337
515	33341	31273
516	33409	31212
517	33471	31145
518	33527	31072
519	33585	31001
520	33644	30931
521	33706	30865
522	33779	30808
523	33848	30748
524	33915	30685
525	33984	30624
526	34070	30579
527	34147	30525
528	34217	30466
529	34276	30396
530	34339	30330
531	34403	30264
532	34472	30203
533	34542	30143
534	34623	30093
535	34700	30039
536	34764	29974
537	34823	29903
538	34884	29836
539	34941	29765
540	35004	29698
541	35069	29634
542	35128	29565
543	35184	29493
544	35241	29421
545	35304	29355
546	35364	29287
547	35423	29217
548	35477	29144
549	35552	29088
550	35611	29019
551	35675	28953
552	35735	28885
553	35807	28826
554	35871	28762
555	35943	28702
556	36008	28638
557	36070	28571
558	36125	28499
559	36182	28428
560	36239	28358
561	36302	28292
562	36372	28232
563	36446	28174
564	36514	28112
565	36583	28051
566	36669	28003
567	36742	27944
568	36805	27878
569	36871	27815
570	36933	27748
571	36996	27682
572	37072	27626
573	37145	27567
574	37214	27506
575	37284	27445
576	37350	27381
577	37419	27320
578	37484	27255
579	37554	27194
580	37620	27130
581	37696	27073
582	37767	27013
583	37839	26954
584	37914	26896
585	37983	26835
586	38051	26772
587	38114	26706
588	38181	26642
589	38247	26578
590	38314	26515
591	38388	26457
592	38462	26398
593	38530	26335
594	38603	26276
595	38670	26212
596	38738	26149
597	38808	26088
598	38888	26033
599	38957	25971
600	39026	25909
601	39085	25840
602	39144	25771
603	39217	25712
604	39287	25650
605	39352	25585
606	39416	25520
607	39478	25453
608	39539	25386
609	39599	25317
610	39673	25258
611	39739	25194
612	39806	25130
613	39875	25068
614	39939	25002
615	39997	24933
616	40062	24868
617	40164	24826
618	40292	24800
619	40413	24769
620	40530	24735
621	40643	24699
622	40751	24660
623	40863	24622
624	40978	24586
625	41046	24522
